,mols_bitswet,T_F,bitswet_smiles,id,cid
110,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA38F30>,False,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,b_176,54676038.0
111,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA38EE0>,False,CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2.Cl,b_178,441344.0
112,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA38F80>,False,C1=C(C=C(C(=C1I)O)C(=O)O)I,b_181,8631.0
113,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA368A0>,False,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,b_183,62920.0
114,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA360D0>,False,CC1=CC2=C(C[C@@H]3[C@@H]4[C@]2(CCCC4)CCN3C)C=C1.OP(=O)(O)O,b_185,5492722.0
115,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA361C0>,False,CCN(CC)CC(C)(C)COC(=O)C1=CC=C(C=C1)N.Cl,b_186,120286.0
116,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36800>,False,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])[N+](=O)[O-],b_189,10709.0
117,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA367B0>,False,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,b_190,3108.0
118,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36AD0>,False,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,b_191,9433.0
119,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36C10>,False,C1=CN=CC=C1C2=CC=NC=C2,b_192,11107.0
120,<rdkit.Chem.rdchem.Mol object at 0x0000015B2DA36D00>,False,CCCCCCCCCCCC[N+](C)(C)CCOC1=CC=CC=C1.[Br-],b_193,10866.0
